name,id,variety_id,avg_img_bed_length,area_msqr,image_bed_number,farm_id,variety_name,type
GH (2),44,16,2,4378,4,4,Ever Red,standard
GH (4),46,16,2,8294,4,4,Ever Red,standard
GH (13),43,16,3,4896,4,4,Ever Red,standard
GH (15),51,16,2,4733,4,4,Ever Red,standard
GH (11),50,16,2,3744,4,4,Ever Red,standard
GH (25),39,16,2,8526,4,4,Ever Red,standard
GH (7),47,16,2,3744,4,4,Ever Red,standard
GH (18),54,16,2,8870,4,4,Ever Red,standard
GH (32),41,16,2,7711,4,4,Ever Red,standard
GH (19),55,16,2,9792,4,4,Ever Red,standard
GH (3),45,16,2,2822,4,4,Ever Red,standard
GH (8),48,16,2,7949,4,4,Ever Red,standard
GH (28),42,16,2,4116,4,4,Ever Red,standard
GH (31),40,16,2,8036,4,4,Ever Red,standard
GH (10),49,16,2,7533,4,4,Ever Red,standard
GH (22),56,16,2,8870,4,4,Ever Red,standard
GH (24),38,16,2,8644,4,4,Ever Red,standard
GH (17),53,16,2,8179,4,4,Ever Red,standard
GH (16),52,16,2,2621,4,4,Ever Red,standard
